Asta K. Pellinen-Wannberg,"['Swedish Inst Space Physics', 'Kiruna Division', 'Box 812', '981 28 Kiruna', 'Sweden']"
Constantin Gontikakis,"['Academy of Athens', 'Research Center for Astronomy', '4 Soranou Efessiou Str', 'Keaem', '11527 Athens', 'Greece']"
Tilemachos John Kalvouridis,"['National Technical University of Athens', 'Faculty of Applied Sciences', 'Dept of Mechanics-Zografou Campus 157 73', '5 Heroes of Polytechnion Ave', '15773 Athens', 'Greece']"
Panos A. Patsis,"['Academy of Athens', 'Research Center for Astronomy', '4 Soranou Efessiou Str', 'KEAEM', '11527 Athens', 'Greece']"
Panagiota Petkaki,"['University of Cambridge', 'Department of Applied Mathematics and Theoretical', 'Wilberforce Road', 'Cambridge CB3 0WA', 'United Kingdom']"
John Polygiannakis,['Greece ']
Antonios Polatidis,"['ASTRON', 'Postbus 2', '7990AA Dwingeloo', 'Netherlands']"
Emily Xanthopoulos,"['University of California', 'LLNL, IGPP', 'L 413 PO Box 808', '7000 East Ave', 'Livermore CA 94550-9234', 'California (CA)', 'United States']"
Tunde Baranyi,['Hungary ']
Jozsef M. Benko,"['MTA CSFK', 'Konkoly Observatory', 'Konkoly Thege u 15-17', '1121 Budapest', 'Hungary']"
Tibor Hegedüs,"['Baja Astronomical Observatory', 'Tibor Hegedüs', 'P.O.Box 116', '6501 Baja', 'Hungary']"
